Student_ID,Student_Name,DOB,Student_Age,Student_Location,Institute_Name,Institute_City,Institute_State,Institute_sponsor,Institute_Affiliation,Program_Registered,Program_Session,Program_Type,Program_Sponsor,Student_Sponsor,Number_of_Adult_in_Family,Number_of_Child_in_Family,Monthly_income_of_each_Adult,Daily_number_of_meals,Weekly_protein_rich_meal_count,Drinking_water_source_at_home,Nearest_Health_Centre,Frequency_of_visiting_healthcentre,Healthcare_facilities
17,Pearl Roberts,31-10-2010,14,Gouyave,St. Andrew's Secondary School,Hillsborough,St. Andrew,Private,NA,Diploma in Agriculture,2024-2028,Undergraduate,No Sponsor,Scholarship,4,0,2738,3,0,Spring,St. David's Health Center,Never,Advanced
18,Elisa Francis,05-01-2000,24,Hillsborough,St. Andrew's Secondary School,St. George's,St. George,Private,NA,BSc Computer Science,2024-2028,Undergraduate,NGO Fund,Parent,1,0,1657,3,7,Well,Princess Royal Hospital,Rarely,Intermediate
19,Kyle Thomas,25-02-2011,13,Sauteurs,Grenville Secondary,Gouyave,St. David,Private,Association of Caribbean Tertiary Institutions,BA English Literature,2024-2028,Diploma,NGO Fund,Parent,3,1,1518,3,6,Community standpipe,Princess Alice Hospital,Rarely,Intermediate
20,Hannah Williams,10-05-2011,13,Morne Jaloux,Wesley College,St. George's,St. Andrew,Ministry of Education,University of the West Indies,Associate in Culinary Arts,2024-2028,Undergraduate,Government Fund,Self,5,4,1073,1,0,Pipeline,Gouyave Health Center,Never,Intermediate
21,Hannah Benoit,20-08-2001,23,Grenville,Grenville Secondary,Victoria,St. Andrew,Anglican Board,University of the West Indies,Diploma in Agriculture,2021-2025,Certificate,Private Donor,Loan,3,5,2908,4,2,Spring,St. David's Health Center,Rarely,Basic
22,Troy Williams,06-12-2004,20,St. David's,T.A. Marryshow Community College,Gouyave,St. Mark,Catholic Board,Government of Grenada,BA English Literature,2022-2026,Undergraduate,Private Donor,Scholarship,1,1,1451,2,3,Pipeline,Princess Royal Hospital,Monthly,Intermediate
23,Vanessa Stanislaus,16-08-2006,18,St. David's,Grenville Secondary,Victoria,St. Andrew,Private,University of the West Indies,BSc Computer Science,2021-2025,Postgraduate,Private Donor,Loan,4,1,2347,1,0,Well,Gouyave Health Center,Monthly,Intermediate
24,Vanessa Roberts,12-11-2003,21,Gouyave,P.B.C.,Carriacou,St. Patrick,Ministry of Education,Association of Caribbean Tertiary Institutions,Certificate in Tourism,2022-2026,Postgraduate,Local Business,Scholarship,4,2,2564,1,0,Pipeline,Princess Royal Hospital,Monthly,Advanced
25,Owen Benoit,24-11-2010,14,Sauteurs,St. Andrew's Secondary School,Gouyave,St. Patrick,Anglican Board,Government of Grenada,BSc Nursing,2022-2026,Postgraduate,Local Business,Loan,4,1,1368,1,3,Bottled,Sauteurs Health Clinic,Yearly,Advanced
26,Janelle Benoit,19-05-2004,20,Grenville,T.A. Marryshow Community College,Sauteurs,St. Mark,Private,Caribbean Examinations Council,Certificate in Tourism,2024-2028,Undergraduate,Government Fund,Self,3,2,2691,3,7,Pipeline,Princess Royal Hospital,Rarely,Basic
27,Leroy Aberdeen,12-03-2000,24,St. George's,Wesley College,Hillsborough,St. John,Anglican Board,Association of Caribbean Tertiary Institutions,BA English Literature,2024-2028,Postgraduate,NGO Fund,Parent,5,5,1696,4,4,Bottled,Princess Alice Hospital,Yearly,Intermediate
28,Ursula Francis,30-09-2002,22,Sauteurs,Grenville Secondary,Sauteurs,St. Mark,Private,NA,Diploma in Agriculture,2023-2027,Diploma,Private Donor,Loan,5,5,2098,3,6,Pipeline,St. David's Health Center,Yearly,Advanced
29,Brandon Roberts,20-12-2011,13,St. David's,Grenada High School,St. George's,St. George,Anglican Board,NA,BSc Nursing,2022-2026,Diploma,Government Fund,Self,1,4,638,1,7,Bottled,Grenville Medical Center,Rarely,Intermediate
30,Pearl Francis,10-10-2001,23,Gouyave,St. Andrew's Secondary School,Carriacou,St. Andrew,Ministry of Education,NA,Diploma in Agriculture,2023-2027,Certificate,Private Donor,Scholarship,3,3,888,4,2,Well,Gouyave Health Center,Monthly,Basic
31,Ursula Johnson,01-08-2003,21,St. George's,St. Andrew's Secondary School,Sauteurs,St. George,Anglican Board,University of the West Indies,Certificate in Tourism,2021-2025,Postgraduate,Government Fund,Self,2,1,2388,3,5,Pipeline,General Hospital,Rarely,Intermediate
32,Wesley Mitchell,30-08-2001,23,Morne Jaloux,Grenada High School,Victoria,St. Mark,Anglican Board,Association of Caribbean Tertiary Institutions,BSc Nursing,2021-2025,Undergraduate,NGO Fund,Self,1,4,974,4,0,Pipeline,Grenville Medical Center,Never,Intermediate
33,Marcus Stanislaus,12-11-2009,15,Morne Jaloux,Grenada High School,St. George's,St. John,Ministry of Education,University of the West Indies,BSc Nursing,2023-2027,Diploma,No Sponsor,Scholarship,1,4,1274,2,0,Well,Victoria Medical Center,Yearly,Advanced
34,Marcus Williams,16-10-2012,12,Grand Anse,P.B.C.,St. George's,St. Andrew,Ministry of Education,NA,Associate in Culinary Arts,2021-2025,Certificate,Government Fund,Parent,3,3,2927,3,1,Spring,Sauteurs Health Clinic,Yearly,Advanced
35,Celina Celestine,31-07-2011,13,Sauteurs,P.B.C.,Gouyave,St. Patrick,Catholic Board,Association of Caribbean Tertiary Institutions,BSc Nursing,2021-2025,Postgraduate,Local Business,Loan,4,4,2511,2,3,Community standpipe,Sauteurs Health Clinic,Rarely,Advanced
36,Xavier James,10-12-2012,12,Grenville,P.B.C.,Victoria,St. Mark,Private,NA,BA English Literature,2023-2027,Postgraduate,Private Donor,Self,2,5,2743,1,7,Bottled,Sauteurs Health Clinic,Rarely,Basic
37,Janelle Stanislaus,13-06-2011,13,Grenville,T.A. Marryshow Community College,Sauteurs,St. John,Catholic Board,Association of Caribbean Tertiary Institutions,Associate in Culinary Arts,2021-2025,Undergraduate,NGO Fund,Parent,4,4,2079,3,6,Spring,Princess Royal Hospital,Monthly,Advanced
38,Zara Thomas,07-11-2007,17,Gouyave,St. George's University,Sauteurs,St. David,Private,Association of Caribbean Tertiary Institutions,BA English Literature,2023-2027,Undergraduate,Government Fund,Parent,1,4,1345,2,1,Pipeline,Sauteurs Health Clinic,Rarely,Intermediate
39,Darius Stanislaus,17-03-2007,17,Sauteurs,St. George's University,St. George's,St. Andrew,Catholic Board,Government of Grenada,BSc Nursing,2023-2027,Postgraduate,Local Business,Self,4,3,2608,2,2,Community standpipe,General Hospital,Never,Intermediate
40,Fiona Celestine,03-01-2011,14,Morne Jaloux,Grenville Secondary,Sauteurs,St. Andrew,Ministry of Education,Caribbean Examinations Council,Diploma in Agriculture,2021-2025,Postgraduate,Local Business,Parent,1,0,2556,2,1,Community standpipe,Princess Royal Hospital,Yearly,Basic
41,Celina Antoine,31-03-2006,18,Hillsborough,Wesley College,St. George's,St. Andrew,Anglican Board,Association of Caribbean Tertiary Institutions,BSc Computer Science,2023-2027,Postgraduate,No Sponsor,Self,2,2,2634,3,3,Well,Gouyave Health Center,Yearly,Intermediate
42,Quincy Charles,23-12-2003,21,Grenville,P.B.C.,Gouyave,St. David,Anglican Board,University of the West Indies,BSc Nursing,2023-2027,Diploma,Local Business,Scholarship,3,1,2959,4,4,Bottled,Princess Royal Hospital,Yearly,Advanced
43,Nadia James,12-05-2002,22,Victoria,St. Andrew's Secondary School,St. George's,St. Mark,Anglican Board,Caribbean Examinations Council,BSc Nursing,2024-2028,Diploma,Government Fund,Loan,3,4,855,2,7,Spring,St. David's Health Center,Monthly,Basic
44,Aaliyah Antoine,18-02-2007,17,Grenville,Grenville Secondary,Victoria,St. Patrick,Ministry of Education,Government of Grenada,Associate in Culinary Arts,2021-2025,Postgraduate,Private Donor,Parent,5,3,683,3,4,Bottled,Gouyave Health Center,Never,Basic
45,Adrian Thomas,25-01-2001,23,Hillsborough,T.A. Marryshow Community College,Hillsborough,St. Patrick,Catholic Board,University of the West Indies,BSc Nursing,2023-2027,Diploma,No Sponsor,Scholarship,5,5,2002,1,3,Community standpipe,Gouyave Health Center,Monthly,Basic
46,Fiona Benoit,12-04-2011,13,St. George's,St. Andrew's Secondary School,Victoria,St. Andrew,Anglican Board,Government of Grenada,Diploma in Agriculture,2022-2026,Postgraduate,Local Business,Loan,4,5,2170,1,3,Pipeline,General Hospital,Never,Basic
47,Elisa Aberdeen,19-01-2004,20,St. David's,Grenville Secondary,St. George's,Carriacou and Petite Martinique,Ministry of Education,Government of Grenada,Certificate in Tourism,2022-2026,Certificate,NGO Fund,Scholarship,5,0,2747,2,1,Well,Gouyave Health Center,Never,Intermediate
48,Zara Johnson,01-03-2010,14,Hillsborough,St. George's University,Grenville,St. Mark,Catholic Board,NA,Associate in Culinary Arts,2023-2027,Postgraduate,Private Donor,Self,1,0,2063,3,2,Well,General Hospital,Yearly,Advanced
49,Vanessa Benoit,29-11-2010,14,Morne Jaloux,St. Andrew's Secondary School,Gouyave,St. John,Private,NA,Diploma in Agriculture,2021-2025,Certificate,Local Business,Loan,1,5,1684,2,4,Well,Victoria Medical Center,Rarely,Intermediate
50,Troy Celestine,26-12-2012,12,Sauteurs,Wesley College,Carriacou,St. John,Private,NA,Diploma in Agriculture,2023-2027,Certificate,Local Business,Self,5,3,2804,1,3,Spring,Princess Royal Hospital,Rarely,Intermediate
51,Leroy Thomas,11-02-2009,15,Morne Jaloux,Grenville Secondary,Grenville,St. George,Ministry of Education,Association of Caribbean Tertiary Institutions,BSc Nursing,2024-2028,Postgraduate,No Sponsor,Self,1,4,1302,4,2,Bottled,St. David's Health Center,Never,Basic
52,Darius Williams,01-11-2010,14,Grenville,Grenville Secondary,Gouyave,St. Mark,Anglican Board,NA,Diploma in Agriculture,2023-2027,Certificate,NGO Fund,Self,2,3,2125,3,3,Community standpipe,Victoria Medical Center,Yearly,Intermediate
53,Nadia Celestine,15-02-2010,14,Victoria,Grenville Secondary,St. George's,St. Andrew,Catholic Board,University of the West Indies,Diploma in Agriculture,2021-2025,Postgraduate,NGO Fund,Self,3,0,2840,4,3,Spring,Princess Alice Hospital,Rarely,Intermediate
54,Leroy Fleming,27-02-2008,16,Sauteurs,T.A. Marryshow Community College,Victoria,St. David,Anglican Board,Association of Caribbean Tertiary Institutions,Associate in Culinary Arts,2024-2028,Diploma,Private Donor,Self,5,5,2405,2,2,Well,Princess Royal Hospital,Rarely,Advanced
55,Xavier Francis,20-05-2010,14,St. David's,St. Andrew's Secondary School,Grenville,St. George,Ministry of Education,Association of Caribbean Tertiary Institutions,BSc Nursing,2023-2027,Certificate,Government Fund,Scholarship,2,1,1120,1,6,Pipeline,Princess Alice Hospital,Never,Advanced
56,Ursula Cummings,23-03-2006,18,Sauteurs,Grenville Secondary,Grenville,St. David,Private,Association of Caribbean Tertiary Institutions,Associate in Culinary Arts,2022-2026,Certificate,Private Donor,Self,2,1,2587,2,5,Community standpipe,Princess Alice Hospital,Yearly,Basic
57,Leroy Isaac,13-06-2004,20,Sauteurs,St. George's University,Hillsborough,St. John,Ministry of Education,Government of Grenada,Associate in Culinary Arts,2021-2025,Diploma,Government Fund,Self,3,1,1666,3,7,Well,Princess Royal Hospital,Never,Advanced
58,Marcus Isaac,14-11-2005,19,Morne Jaloux,St. George's University,Grenville,St. Mark,Anglican Board,University of the West Indies,BSc Computer Science,2023-2027,Undergraduate,Private Donor,Self,4,3,2894,4,1,Bottled,St. David's Health Center,Monthly,Advanced
59,Kyle Isaac,13-12-2010,14,St. George's,T.A. Marryshow Community College,Grenville,St. David,Ministry of Education,Government of Grenada,BSc Nursing,2024-2028,Diploma,No Sponsor,Scholarship,4,2,2546,1,7,Bottled,Princess Alice Hospital,Rarely,Basic
60,Rochelle Celestine,21-08-2005,19,Gouyave,St. George's University,St. George's,St. John,Catholic Board,University of the West Indies,Certificate in Tourism,2022-2026,Diploma,No Sponsor,Loan,1,0,1911,1,4,Well,Sauteurs Health Clinic,Yearly,Intermediate
61,Kyle Roberts,10-07-2010,14,Gouyave,St. Andrew's Secondary School,Victoria,St. Mark,Catholic Board,University of the West Indies,BSc Computer Science,2024-2028,Undergraduate,NGO Fund,Self,5,5,2129,4,0,Bottled,Victoria Medical Center,Monthly,Advanced
62,Hannah Aberdeen,05-06-2002,22,Gouyave,Wesley College,Grenville,St. Andrew,Private,Caribbean Examinations Council,Diploma in Agriculture,2022-2026,Diploma,Government Fund,Parent,3,5,963,4,1,Spring,Princess Alice Hospital,Yearly,Intermediate
63,Aaliyah Aberdeen,24-09-2012,12,Sauteurs,Wesley College,Hillsborough,St. Patrick,Private,Association of Caribbean Tertiary Institutions,Diploma in Agriculture,2023-2027,Postgraduate,NGO Fund,Loan,5,2,1264,1,6,Bottled,Sauteurs Health Clinic,Rarely,Basic
64,Marcus Lewis,25-09-2010,14,St. George's,Grenville Secondary,Carriacou,St. George,Ministry of Education,NA,Certificate in Tourism,2022-2026,Certificate,NGO Fund,Scholarship,2,1,1931,1,3,Spring,Gouyave Health Center,Yearly,Intermediate
65,Aaliyah Francis,04-10-2012,12,St. George's,Grenada High School,St. George's,St. Andrew,Catholic Board,University of the West Indies,Associate in Culinary Arts,2022-2026,Postgraduate,No Sponsor,Scholarship,4,5,1732,4,6,Bottled,Victoria Medical Center,Monthly,Advanced
66,Owen Lewis,26-01-2009,15,Victoria,Grenville Secondary,Carriacou,St. Patrick,Ministry of Education,Government of Grenada,Associate in Culinary Arts,2021-2025,Postgraduate,Government Fund,Scholarship,3,2,1455,4,4,Pipeline,Princess Royal Hospital,Yearly,Advanced
67,Zara Benoit,25-02-2002,22,Sauteurs,St. Andrew's Secondary School,Carriacou,St. Mark,Anglican Board,Government of Grenada,BA English Literature,2021-2025,Diploma,Local Business,Parent,1,5,1359,4,5,Community standpipe,Gouyave Health Center,Yearly,Basic
68,Celina Johnson,05-04-2005,19,Hillsborough,Grenville Secondary,Sauteurs,St. John,Catholic Board,Caribbean Examinations Council,BSc Nursing,2024-2028,Diploma,Private Donor,Self,1,5,2701,2,1,Community standpipe,Princess Alice Hospital,Rarely,Advanced
69,Owen Aberdeen,06-02-2007,17,St. George's,T.A. Marryshow Community College,Gouyave,St. George,Anglican Board,NA,Diploma in Agriculture,2021-2025,Certificate,No Sponsor,Loan,4,0,772,2,6,Spring,Princess Royal Hospital,Yearly,Intermediate
70,Kyle Pascall,04-10-2006,18,Grand Anse,Wesley College,Grenville,St. Mark,Anglican Board,NA,BSc Computer Science,2022-2026,Certificate,NGO Fund,Parent,3,4,1351,2,5,Pipeline,Princess Royal Hospital,Yearly,Advanced
71,Troy Fleming,11-04-2001,23,Gouyave,P.B.C.,Gouyave,St. David,Private,Caribbean Examinations Council,Certificate in Tourism,2022-2026,Certificate,Private Donor,Scholarship,2,1,2545,2,1,Bottled,St. David's Health Center,Yearly,Advanced
72,Isaac Williams,14-11-2001,23,St. George's,St. Andrew's Secondary School,Gouyave,St. Patrick,Anglican Board,Association of Caribbean Tertiary Institutions,Certificate in Tourism,2023-2027,Diploma,Private Donor,Scholarship,4,1,2490,1,1,Well,General Hospital,Never,Intermediate
73,Marcus Thomas,06-02-2007,17,Victoria,Wesley College,Gouyave,St. David,Ministry of Education,University of the West Indies,BSc Nursing,2023-2027,Diploma,NGO Fund,Parent,1,3,2169,1,7,Well,St. David's Health Center,Yearly,Basic
74,Xavier Pascall,01-07-2006,18,Sauteurs,St. George's University,Hillsborough,St. Andrew,Anglican Board,University of the West Indies,BSc Nursing,2023-2027,Undergraduate,Government Fund,Loan,3,4,1948,2,1,Bottled,General Hospital,Rarely,Intermediate
75,Owen Stanislaus,27-01-2009,15,Morne Jaloux,Grenville Secondary,Gouyave,St. Patrick,Private,Association of Caribbean Tertiary Institutions,BSc Nursing,2021-2025,Certificate,Local Business,Loan,1,5,2909,4,2,Bottled,Gouyave Health Center,Monthly,Intermediate
76,George Isaac,20-03-2009,15,Sauteurs,Grenville Secondary,Gouyave,St. Andrew,Private,NA,BSc Computer Science,2022-2026,Diploma,Private Donor,Self,5,0,2715,1,4,Community standpipe,General Hospital,Monthly,Basic
77,Yannick Roberts,16-11-2012,12,Gouyave,St. Andrew's Secondary School,St. George's,St. Mark,Ministry of Education,Caribbean Examinations Council,Associate in Culinary Arts,2023-2027,Postgraduate,NGO Fund,Loan,5,1,2491,3,3,Community standpipe,Victoria Medical Center,Monthly,Intermediate
78,Elisa Aberdeen,24-08-2003,21,Victoria,St. George's University,Sauteurs,St. George,Catholic Board,Caribbean Examinations Council,Certificate in Tourism,2024-2028,Postgraduate,No Sponsor,Loan,2,1,778,1,7,Community standpipe,General Hospital,Monthly,Basic
79,Darius James,16-03-2002,22,Sauteurs,St. Andrew's Secondary School,Gouyave,St. David,Catholic Board,NA,BA English Literature,2022-2026,Undergraduate,No Sponsor,Scholarship,4,1,1572,3,3,Community standpipe,Princess Royal Hospital,Never,Advanced
80,Kyle Grant,07-08-2003,21,St. George's,Wesley College,Hillsborough,St. Andrew,Anglican Board,Government of Grenada,BA English Literature,2024-2028,Certificate,No Sponsor,Parent,2,2,1473,4,2,Community standpipe,Sauteurs Health Clinic,Never,Intermediate
81,Brandon Isaac,27-03-2010,14,Sauteurs,Grenville Secondary,Gouyave,St. Andrew,Anglican Board,Caribbean Examinations Council,Diploma in Agriculture,2024-2028,Diploma,NGO Fund,Scholarship,2,5,855,4,5,Bottled,General Hospital,Monthly,Basic
82,Fiona Thomas,07-06-2006,18,Hillsborough,Grenville Secondary,Hillsborough,St. John,Private,University of the West Indies,Certificate in Tourism,2023-2027,Postgraduate,No Sponsor,Scholarship,1,3,2002,4,2,Bottled,Grenville Medical Center,Yearly,Advanced
83,Kyle Williams,11-02-2005,19,St. George's,Wesley College,Carriacou,Carriacou and Petite Martinique,Ministry of Education,NA,BSc Computer Science,2023-2027,Undergraduate,Government Fund,Parent,1,1,2198,2,4,Spring,Gouyave Health Center,Yearly,Intermediate
84,Nadia Aberdeen,27-12-2005,19,Grand Anse,St. George's University,Carriacou,St. Mark,Catholic Board,NA,Associate in Culinary Arts,2023-2027,Postgraduate,Private Donor,Scholarship,2,5,2701,3,5,Community standpipe,Princess Alice Hospital,Rarely,Intermediate
85,Pearl Stanislaus,24-07-2009,15,Grand Anse,P.B.C.,Grenville,St. George,Catholic Board,Association of Caribbean Tertiary Institutions,BSc Computer Science,2022-2026,Postgraduate,Local Business,Scholarship,1,0,724,1,1,Bottled,St. David's Health Center,Never,Intermediate
86,Yannick James,03-10-2003,21,Sauteurs,Grenada High School,Victoria,St. Andrew,Catholic Board,University of the West Indies,Certificate in Tourism,2023-2027,Certificate,Private Donor,Loan,2,3,1201,1,3,Spring,Gouyave Health Center,Never,Basic
87,Elisa Williams,12-11-2011,13,Hillsborough,Wesley College,Hillsborough,Carriacou and Petite Martinique,Private,NA,Diploma in Agriculture,2022-2026,Diploma,Private Donor,Scholarship,2,4,2472,4,2,Pipeline,St. David's Health Center,Monthly,Advanced
88,Janelle Mitchell,15-11-2012,12,St. George's,St. Andrew's Secondary School,Gouyave,St. Andrew,Catholic Board,Government of Grenada,BA English Literature,2021-2025,Diploma,Local Business,Parent,5,0,1458,3,3,Pipeline,Princess Royal Hospital,Yearly,Basic
89,Troy Mitchell,12-07-2006,18,Sauteurs,St. George's University,Grenville,St. David,Ministry of Education,Association of Caribbean Tertiary Institutions,BA English Literature,2022-2026,Diploma,Local Business,Parent,5,0,2936,4,7,Pipeline,Sauteurs Health Clinic,Rarely,Intermediate
90,Nadia Johnson,09-02-2005,19,St. George's,Grenada High School,St. George's,Carriacou and Petite Martinique,Catholic Board,University of the West Indies,BSc Nursing,2021-2025,Undergraduate,Private Donor,Scholarship,3,4,1459,3,2,Pipeline,General Hospital,Rarely,Advanced
91,Marcus Aberdeen,22-02-2007,17,Grenville,St. Andrew's Secondary School,Carriacou,St. Andrew,Anglican Board,Government of Grenada,BA English Literature,2023-2027,Undergraduate,Government Fund,Self,2,2,1798,3,4,Well,Sauteurs Health Clinic,Never,Intermediate
92,Pearl Benoit,26-03-2003,21,Victoria,St. George's University,Hillsborough,St. George,Anglican Board,Caribbean Examinations Council,Certificate in Tourism,2021-2025,Undergraduate,Local Business,Parent,4,5,2450,2,6,Community standpipe,Gouyave Health Center,Monthly,Intermediate
93,Janelle Grant,29-12-2010,14,St. David's,P.B.C.,St. George's,St. John,Ministry of Education,University of the West Indies,Certificate in Tourism,2022-2026,Postgraduate,Government Fund,Parent,4,2,2859,1,4,Pipeline,General Hospital,Monthly,Intermediate
94,Nadia Aberdeen,22-08-2006,18,St. George's,T.A. Marryshow Community College,Grenville,St. Mark,Private,Caribbean Examinations Council,BA English Literature,2023-2027,Undergraduate,NGO Fund,Scholarship,5,4,2829,4,6,Well,St. David's Health Center,Rarely,Advanced
95,Kyle Cummings,26-04-2009,15,Grenville,Wesley College,St. George's,St. Andrew,Ministry of Education,Government of Grenada,BA English Literature,2021-2025,Diploma,Government Fund,Self,3,1,840,3,0,Community standpipe,St. David's Health Center,Monthly,Basic
96,Adrian Stanislaus,12-05-2007,17,Sauteurs,P.B.C.,Sauteurs,St. Andrew,Private,University of the West Indies,BSc Computer Science,2021-2025,Certificate,Local Business,Loan,3,2,1163,4,1,Spring,Sauteurs Health Clinic,Rarely,Basic
97,George Mitchell,15-06-2000,24,Morne Jaloux,Wesley College,St. George's,St. Patrick,Catholic Board,NA,BA English Literature,2021-2025,Diploma,Private Donor,Self,5,5,1991,1,1,Pipeline,Sauteurs Health Clinic,Monthly,Basic
98,Xavier Pope,08-06-2010,14,Sauteurs,St. Andrew's Secondary School,St. George's,St. Patrick,Anglican Board,Association of Caribbean Tertiary Institutions,BSc Nursing,2024-2028,Postgraduate,Local Business,Self,5,0,792,4,1,Spring,Grenville Medical Center,Monthly,Basic
99,Janelle Francis,15-12-2004,20,Hillsborough,P.B.C.,Victoria,St. Andrew,Private,NA,Certificate in Tourism,2021-2025,Certificate,NGO Fund,Parent,4,2,1303,4,7,Community standpipe,Princess Alice Hospital,Rarely,Intermediate
100,Celina Pascall,10-05-2009,15,Sauteurs,T.A. Marryshow Community College,Grenville,St. John,Ministry of Education,NA,BA English Literature,2022-2026,Diploma,Government Fund,Parent,3,0,2244,1,1,Well,Sauteurs Health Clinic,Never,Advanced
101,Yannick Francis,15-07-2012,12,St. George's,Wesley College,Carriacou,St. George,Private,Government of Grenada,Certificate in Tourism,2021-2025,Postgraduate,Government Fund,Parent,5,3,2493,2,5,Bottled,Princess Royal Hospital,Never,Basic
102,Xavier Pope,07-08-2011,13,Hillsborough,St. Andrew's Secondary School,Grenville,Carriacou and Petite Martinique,Private,NA,Diploma in Agriculture,2024-2028,Undergraduate,NGO Fund,Scholarship,1,1,1132,2,0,Well,Princess Alice Hospital,Never,Intermediate
103,Vanessa Celestine,15-04-2007,17,Morne Jaloux,T.A. Marryshow Community College,Carriacou,Carriacou and Petite Martinique,Catholic Board,Government of Grenada,BSc Computer Science,2022-2026,Undergraduate,Private Donor,Scholarship,3,0,2333,1,3,Pipeline,General Hospital,Monthly,Intermediate
